numero,arquivo,artista,musica
01243,01243.mp4,SÁ E GUARABIRA,ATRÁS POEIRA
01244,01244.mp4,NÉLSON GONÇALVES,CARLOS GARDEL
01245,01245.mp4,MARIA CECÍLIA E RODOLFO,COISAS ESOTÉRICAS
01246,01246.mp4,JOÃO MINEIRO E MARCIANO,CRISES DE AMOR
01247,01247.mp4,JOÃO BOSCO E VINÍCIUS,CURTIÇÃO
01248,01248.mp4,PADRE FÁBIO DE MELO,DEUS É CAPAZ
01249,01249.mp4,TITÃS,DOMINGO
01250,01250.mp4,BRUNO E MARRONE,DUAS VEZES VOCÊ
01251,01251.mp4,MICHEL TELÓ E JOÃO BOSCO E VINÍCIUS,"EI, PSIU, BEIJO, ME LIGA"
01252,01252.mp4,NECHVILE,EU NÃO VOU MAIS CHORAR
01253,01253.mp4,ZEZÉ DI CAMARGO & LUCIANO,FAÇA ALGUMA COISA
01254,01254.mp4,ERASMO CARLOS,FILHO ÚNICO
01255,01255.mp4,BRUNO E MARRONE,FLASH BACK DE NÓS DOIS
01256,01256.mp4,BELO,INCONDICIONALMENTE
01257,01257.mp4,RITCHIE,LÁGRIMAS DEMAIS
01258,01258.mp4,LATINO E DUDU NOBRE,ME DIVIRTO COM AS ERRADAS
01259,01259.mp4,BANDA DJAVÚ,ME LIBERA
01260,01260.mp4,JORGE E MATEUS,MISTÉRIOS
01261,01261.mp4,SAMPA CREW,O ANJO E A FLOR
01262,01262.mp4,JOÃO BOSCO E VINÍCIUS,O FORA
01263,01263.mp4,LENINE,O SILÊNCIO DAS ESTRELAS
01264,01264.mp4,FORRÓ DO MUÍDO,PISADINHA DO MUÍDO
01265,01265.mp4,TEODORO E SAMPAIO,PITOCO
01266,01266.mp4,LEONARDO,"POR FAVOR, REZA PRA NÓS"
01267,01267.mp4,EDSON E HUDSON,PRA NÃO CHORAR
01268,01268.mp4,MYLENA,QUANDO
01269,01269.mp4,IVETE SANGALO,QUANTO AO TEMPO
01270,01270.mp4,BANDA EVA,REGGAE DO PORTO
01271,01271.mp4,D'BLACK,REVOLTA
01272,01272.mp4,JANAYNNA TARGINO,SACANAGEM TUA
01273,01273.mp4,LEGIÃO URBANA,SE FIQUEI ESPERANDO MEU AMOR PASSAR
01274,01274.mp4,BANDA CALYPSO,SEM DIREÇÃO
01275,01275.mp4,SILVIA MACHETE,SIMPLESMENTE MULHER
01276,01276.mp4,ANGELA MARIA,TANGO PRA TEREZA
01277,01277.mp4,FERNANDA TAKAI,TREVO DE QUATRO FOLHAS
01278,01278.mp4,ELIZETH CARDOSO,ÚLTIMA FORMA
01279,01279.mp4,FINO COLETIVO,UMA RAIZ UMA FLOR
01280,01280.mp4,LEONARDO,VIAJEI
01281,01281.mp4,ARMANDINHO,A FILHA
01282,01282.mp4,LS JACK,AMANHÃ NÃO SE SABE
01283,01283.mp4,DANIEL,BOÊMIO APAIXONADO
01284,01284.mp4,CHICO BUARQUE,BRISA DO MAR
01285,01285.mp4,MADRIGAL,CABOCLA
01286,01286.mp4,DJAVAN,CAPIM
01287,01287.mp4,ÂNGELA MARIA E EMÍLIO SANTIAGO,ESCUTA
01288,01288.mp4,CHICO BUARQUE E ELZA SOARES,FAÇAMOS (VAMOS AMAR)
01289,01289.mp4,GILBERTO GIL,FORRÓ NO ESCURO
01290,01290.mp4,TEODORO E SAMPAIO,HOMEM QUE BATE EM MULHER
01291,01291.mp4,CHICO BUARQUE,HOMENAGEM AO MALANDRO
01292,01292.mp4,JORGE VERCILO,INVISÍVEL
01293,01293.mp4,CIDADE NEGRA,JOHNNY B. GOOD
01294,01294.mp4,ERASMO CARLOS,LERO LERO
01295,01295.mp4,SILVIO CÉSAR,LEVANTE OS OLHOS
01296,01296.mp4,"CHICO BUARQUE, MIÚCHA E TOM JOBIM",MANINHA
01297,01297.mp4,ADRIANA CALCANHOTO,MARESIA
01298,01298.mp4,LENINE,MERO DETALHE
01299,01299.mp4,SÉRGIO REIS,MEU CAVALO ZAINO
01300,01300.mp4,BANDA DJAVÚ,NÃO DESLIGA O TELEFONE
01301,01301.mp4,DICK FARNEY,NICK BAR
01302,01302.mp4,LEILA PINHEIRO,NUA IDÉIA
01303,01303.mp4,ERASMO CARLOS,O CADERNINHO
01304,01304.mp4,ROBERTO LEAL,O IMIGRANTE
01305,01305.mp4,ZÉ RAMALHO,O VENTO VAI RESPONDER
01306,01306.mp4,DETONAUTAS,OLHOS CERTOS
01307,01307.mp4,ZEZÉ DI CAMARGO E LUCIANO,PRA SEMPRE
01308,01308.mp4,EDUARDO COSTA,PRIMEIRO DE ABRIL
01309,01309.mp4,JOÃO BOSCO,QUANDO O AMOR ACONTECE
01310,01310.mp4,LENY ANDRADE,RIO
01311,01311.mp4,CASSIANO,SALVE ESSA FLOR
01312,01312.mp4,PERI RIBEIRO,SAMBA DO AVIÃO
01313,01313.mp4,NENHUM DE NÓS,SANTA FELICIDADE
01314,01314.mp4,MARIA GADÚ,SHIMBALAIÊ
01315,01315.mp4,FALAMANSA,TEMPO DE PAZ
01316,01316.mp4,PADRE FÁBIO DE MELLO,TUDO POSSO
01317,01317.mp4,DORIVAL CAYMMI,VATAPÁ
01318,01318.mp4,ATAÍDE E ALEXANDRE,VOCÊ MARCOU PRA MIM
01319,01319.mp4,MÁRCIO GREYCK,VOCÊ VEIO
01320,01320.mp4,ELIS REGINA,VOU DEITAR E ROLAR
01321,01321.mp4,ZÉ RODRIX,ABAIXO A CUECA
01322,01322.mp4,ARMANDINHO,BABILÔNIA ME CHAMA
01323,01323.mp4,BELCHIOR,COMENTÁRIOS A RESPEITO DE JOHN
01324,01324.mp4,CLÁUDIO ZOLI,FLOR DO FUTURO
01325,01325.mp4,IVETE SANGALO,NA BASE DO BEIJO
01326,01326.mp4,HYLDON,NA SOMBRA DE UMA ÁRVORE
01327,01327.mp4,MILIONÁRIO E JOSÉ RICO,NENHUMA ESPERANÇA
01328,01328.mp4,BANDA CHEIRO DE AMOR,PENSE EM MIM
01329,01329.mp4,CÉSAR MENOTTI E FABIANO,TARDE DEMAIS
01330,01330.mp4,JORGE E MATEUS,VOA BEIJA FLOR
01331,01331.mp4,CHITÃOZINHO E XORORÓ,AI MARIA
01332,01332.mp4,RAÇA NEGRA,BOA SORTE
01333,01333.mp4,KÁTIA,DIREITOS
01334,01334.mp4,TIM MAIA,ESTÁ DIFÍCIL DE ESQUECER
01335,01335.mp4,LEONARDO,FLOR DO MEU SERTÃO
01336,01336.mp4,WANDO,GAZELA
01337,01337.mp4,BANDA EVA,LUGAR DA ALEGRIA
01338,01338.mp4,LUAN SANTANA,METEORO
01339,01339.mp4,RICK VALLEN,PRA SER AMOR
01340,01340.mp4,CELIA,RIO DE JANEIRO (ISSO É O MEU BRASIL)
01341,01341.mp4,BRUNO E MARRONE,TE AMO TANTO
01342,01342.mp4,VÍCTOR E LÉO,TIMIDEZ
01343,01343.mp4,KELLY KEY,TÔ FORA
01344,01344.mp4,JOANA,TÔ MORRENDO DE SAUDADE
01345,01345.mp4,SÓ PRA CONTRARIAR,TUDO MENOS AMOR
01346,01346.mp4,ENZO E RODRIGO,TRAZ DE VOLTA A MINHA VIDA
01347,01347.mp4,MARCOS E BELLUTTI,TUDO NO OLHAR
01348,01348.mp4,ÂNGELA RÔ RÔ,VICIEI EM VOCÊ
01349,01349.mp4,FRENÉTICAS,VOCÊ ESCOLHEU ERRADO SEU SUPER-HERÓI
01350,01350.mp4,LUAN SANTANA,VOCÊ NÃO SABE O QUE É AMOR
01351,01351.mp4,TUNAI,ADEUS À DOR
01352,01352.mp4,DANIEL,AMIGA
01353,01353.mp4,CALCINHA PRETA,BEBO E CHORO
01354,01354.mp4,AVIÕES DO FORRÓ,BLÁ BLÁ BLÁ
01355,01355.mp4,MAX VIANNA,CANÇÕES DE REI
01356,01356.mp4,EDUARDO COSTA,CANSEI DE SER PALHAÇO
01357,01357.mp4,EDUARDO COSTA,CENA DE UM FILME
01358,01358.mp4,WILSON SIDERAL,CINCO DIAS
01359,01359.mp4,FERNANDO E SOROCABA,DELEGADA
01360,01360.mp4,RONNIE VON,DIA DE FOLGA
01361,01361.mp4,VÍCTOR E LÉO,ESTRELA CADENTE
01362,01362.mp4,LATINO,EU AMO VOCÊ
01363,01363.mp4,MEGH STOCK,INVEJA
01364,01364.mp4,CAETANO VELOSO,"MINHA VOZ, MINHA VIDA"
01365,01365.mp4,JOANNA,NADA SÉRIO
01366,01366.mp4,MARIA CECÍLIA E RODOLFO,QUEM AMA CUIDA
01367,01367.mp4,GRUPO REDENÇÃO,SAMBA PRA YO YO E YA YA
01368,01368.mp4,JOÃO BOSCO E VINÍCIUS,SEM ESSE CORAÇÃO
01369,01369.mp4,PAULA FERNANDES,SEM VOCÊ
01370,01370.mp4,RONNIE VON,TEMPO DE ACORDAR
01371,01371.mp4,FERNANDO E SOROCABA,A CASA CAIU
01372,01372.mp4,DORIVAL CAYMMI E NANA CAYMMI,ACALANTO
01373,01373.mp4,JORGE E MATEUS,AMOR COVARDE
01374,01374.mp4,VÍCTOR E LÉO,AO VIVO E EM CORES
01375,01375.mp4,BETH CARVALHO,CABÔ MEU PAI
01376,01376.mp4,ANTÔNIO MARCOS,CARA A CARA
01377,01377.mp4,JORGE BENJOR,CAROLINA CAROL BELA
01378,01378.mp4,VAVÁ,DONA CAROLA
01379,01379.mp4,GUILHERME E SANTIAGO,E DAÍ
01380,01380.mp4,NX ZERO,ESPERO A MINHA VEZ
01381,01381.mp4,CHICABANA,EU QUERO SÓ VOCÊ
01382,01382.mp4,ITAMAR ASSUMPÇÃO,FICO LOUCO
01383,01383.mp4,BRUNA CARAM,FIM DE TARDE
01384,01384.mp4,CÁSSIA ELLER,GATAS EXTRAORDINÁRIAS
01385,01385.mp4,BIAFRA,LEÃO FERIDO
01386,01386.mp4,SECOS E MOLHADOS,MUITAS PESSOAS
01387,01387.mp4,BELCHIOR,NA HORA DO ALMOÇO
01388,01388.mp4,ALISSON E RYAN,NÃO SOU SEU BRINQUEDO
01389,01389.mp4,RODRIGO SANTOS,NÃO VÁ
01390,01390.mp4,MOLEJO,NÉ BRINQUEDO NÃO
01391,01391.mp4,CIDADE NEGRA,NEGRO REI
01392,01392.mp4,JOÃO NETO E FREDERICO,O CARA ERRADO
01393,01393.mp4,ZEZÉ DI CAMARGO E LUCIANO,O POVO FALA E NÓIS NAMORA
01394,01394.mp4,BRUNA CARAM,PALAVRAS DO CORAÇÃO
01395,01395.mp4,NILA BRANCO,PRA TE AMAR
01396,01396.mp4,LATINO E BRUNO E MARRONE,PRECISO PARAR DE CHORAR
01397,01397.mp4,ANTÔNIO MARCOS,QUEM DÁ MAIS
01398,01398.mp4,PARANGOLÉ,REBOLATION
01399,01399.mp4,BELO,REINVENTAR
01400,01400.mp4,CHITÃOZINHO E XORORÓ,SACO DE OURO
01401,01401.mp4,EDUARDO COSTA,A CARTA
01402,01402.mp4,MARIANA AYDAR,A DEUSA DOS ORIXÁS
01403,01403.mp4,LUAN SANTANA,A LOUCA
01404,01404.mp4,NEY MATOGROSSO,ARDENTE
01405,01405.mp4,CLAUDIA LEITE,AS MÁSCARAS
01406,01406.mp4,JEITO MOLEQUE,BEM VINDA
01407,01407.mp4,LEILA PINHEIRO,CATAVENTO E GIRASSOL
01408,01408.mp4,MARIA CECÍLIA E RODOLFO,"CEGO, SURDO E MUDO"
01409,01409.mp4,CHITÃOZINHO E XORORÓ,COWBOY DO ASFALTO
01410,01410.mp4,SAMPA CREW E DANI VOGUEL,DISTÂNCIA
01411,01411.mp4,AVIÕES DO FORRÓ,EU NÃO VOU MAIS CHORAR
01412,01412.mp4,ARLINDO CRUZ,HOJE TEM SAMBA
01413,01413.mp4,VERÔNICA SABINO,LUA BRANCA
01414,01414.mp4,VANUSA,O MAGO DE PORNÓIS
01415,01415.mp4,GUILHERME ARANTES,PRONTOS PARA AMAR
01416,01416.mp4,FREJAT,QUANDO O AMOR ERA MEDO
01417,01417.mp4,KLEITON E KLEDIR,RODA DA FORTUNA
01418,01418.mp4,FERNANDA PORTO,SAMBASSIM
01419,01419.mp4,FUNDO DE QUINTAL,SE VOCÊ JURAR
01420,01420.mp4,ÂNGELA RÔ RÔ,TOLA FOI VOCÊ
01421,01421.mp4,CAZUZA,EU QUERIA TER UMA BOMBA
01422,01422.mp4,CHRISTIAN E CRISTIANO,FÃ
01423,01423.mp4,ZECA BALEIRO,FLOR DA PELE
01424,01424.mp4,EXALTASAMBA,FUI
01425,01425.mp4,ALMIR SATER,HORA DO CLARÃO
01426,01426.mp4,PAULINHO MOSKA,ÍMÃ
01427,01427.mp4,MOACYR FRANCO,INCÊNDIO NO CANAVIAL
01428,01428.mp4,BELO,INVENCÍVEL
01429,01429.mp4,NEY MATOGROSSO,INVENTO
01430,01430.mp4,LULU SANTOS,JANELA INDISCRETA
01431,01431.mp4,NEY MATOGROSSO,LIG-LIG-LIG-LÉ
01432,01432.mp4,EDUARDO COSTA,NÃO VALEU PRA VOCÊ
01433,01433.mp4,LOBÃO,NOITE E DIA
01434,01434.mp4,AFRODITE SE QUISER,O QUE QUE ELA TEM QUE EU NÃO TENHO
01435,01435.mp4,PAULA FERNANDES,PÁSSARO DE FOGO
01436,01436.mp4,BRUNO E MARRONE,PODE IR EMBORA
01437,01437.mp4,NANDO REIS,PRA VOCÊ GUARDEI O AMOR
01438,01438.mp4,LUAN SANTANA,SINAIS
01439,01439.mp4,JOTA QUEST,ÚNICO OLHAR
01440,01440.mp4,ASA DE ÁGUIA,VALE NIGHT
01441,01441.mp4,OS ORIGINAIS DO SAMBA,A DONA DO PRIMEIRO ANDAR
01442,01442.mp4,FAGNER,À SOMBRA DE UM VULCÂO
01443,01443.mp4,HARMONIA DO SAMBA,AGORA MEXE
